,date,state,cases,deaths
21945,2020-03-31,California,38,0
21946,2020-03-31,California,8,0
21947,2020-03-31,California,101,1
21948,2020-03-31,California,4,0
21949,2020-03-31,California,3011,54
21950,2020-03-31,California,23,1
21951,2020-03-31,California,102,4
21952,2020-03-31,California,4,0
21953,2020-03-31,California,10,0
21954,2020-03-31,California,13,1
21955,2020-03-31,California,42,2
21956,2020-03-31,California,16,1
21957,2020-03-31,California,21,0
21958,2020-03-31,California,502,7
21959,2020-03-31,California,67,2
21960,2020-03-31,California,1,0
21961,2020-03-31,California,371,13
21962,2020-03-31,California,224,7
21963,2020-03-31,California,21,1
21964,2020-03-31,California,183,6
21965,2020-03-31,California,734,9
21966,2020-03-31,California,400,6
21967,2020-03-31,California,151,8
21968,2020-03-31,California,80,0
21969,2020-03-31,California,309,10
21970,2020-03-31,California,99,0
21971,2020-03-31,California,890,31
21972,2020-03-31,California,49,1
21973,2020-03-31,California,6,1
21974,2020-03-31,California,3,0
21975,2020-03-31,California,54,0
21976,2020-03-31,California,85,1
21977,2020-03-31,California,39,0
21978,2020-03-31,California,10,0
21979,2020-03-31,California,45,1
21980,2020-03-31,California,1,0
21981,2020-03-31,California,1,0
21982,2020-03-31,California,149,5
21983,2020-03-31,California,25,1
21984,2020-03-31,California,7,0
21985,2020-03-31,Colorado,185,2
21986,2020-03-31,Colorado,1,0
21987,2020-03-31,Colorado,350,6
21988,2020-03-31,Colorado,1,0
21989,2020-03-31,Colorado,3,0
21990,2020-03-31,Colorado,107,2
21991,2020-03-31,Colorado,20,1
21992,2020-03-31,Colorado,17,1
21993,2020-03-31,Colorado,4,0
21994,2020-03-31,Colorado,3,0
21995,2020-03-31,Colorado,1,1
21996,2020-03-31,Colorado,1,0
21997,2020-03-31,Colorado,539,7
21998,2020-03-31,Colorado,144,0
21999,2020-03-31,Colorado,227,4
22000,2020-03-31,Colorado,286,13
22001,2020-03-31,Colorado,5,0
22002,2020-03-31,Colorado,2,0
22003,2020-03-31,Colorado,33,1
22004,2020-03-31,Colorado,4,0
22005,2020-03-31,Colorado,82,1
22006,2020-03-31,Colorado,1,0
22007,2020-03-31,Colorado,1,0
22008,2020-03-31,Colorado,304,6
22009,2020-03-31,Colorado,2,0
22010,2020-03-31,Colorado,23,0
22011,2020-03-31,Colorado,1,0
22012,2020-03-31,Colorado,99,6
22013,2020-03-31,Colorado,1,0
22014,2020-03-31,Colorado,6,0
22015,2020-03-31,Colorado,14,0
22016,2020-03-31,Colorado,2,0
22017,2020-03-31,Colorado,4,0
22018,2020-03-31,Colorado,1,0
22019,2020-03-31,Colorado,13,0
22020,2020-03-31,Colorado,4,0
22021,2020-03-31,Colorado,3,0
22022,2020-03-31,Colorado,3,0
22023,2020-03-31,Colorado,1,0
22024,2020-03-31,Colorado,30,2
22025,2020-03-31,Colorado,21,2
22026,2020-03-31,Colorado,5,0
22027,2020-03-31,Colorado,17,0
22028,2020-03-31,Colorado,1,0
22029,2020-03-31,Colorado,4,0
22030,2020-03-31,Colorado,20,0
22031,2020-03-31,Colorado,7,1
22032,2020-03-31,Colorado,129,0
22033,2020-03-31,Colorado,1,0
22034,2020-03-31,Colorado,255,12
22035,2020-03-31,Colorado,2,0
22036,2020-03-31,Connecticut,1870,38
22037,2020-03-31,Connecticut,393,7
22038,2020-03-31,Connecticut,121,1
22039,2020-03-31,Connecticut,56,1
22040,2020-03-31,Connecticut,517,12
22041,2020-03-31,Connecticut,27,1
22042,2020-03-31,Connecticut,56,7
22043,2020-03-31,Connecticut,77,2
22044,2020-03-31,Connecticut,11,0
22045,2020-03-31,Delaware,34,2
22046,2020-03-31,Delaware,197,6
22047,2020-03-31,Delaware,88,2
